basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
IEOP0091,910.709,134.787,-2.92,3.606,63.311,2.913,0.584,0.187
IEOP0092,81.238,48.37,0.079,4.263,36.569,0.0,0.731,0.0
IEOP0093,422.692,126.418,5.785,3.244,54.416,0.148,0.557,0.148
IEOP0094,910.709,165.394,5.345,3.883,51.177,1.699,0.568,0.169
IEOP0095,679.434,181.076,33.629,3.749,50.82,1.269,0.671,0.17
IEOP0096,910.709,166.717,15.555,3.858,51.604,1.692,0.561,0.167
IEOP0097,679.434,185.941,41.446,3.76,50.424,1.269,0.674,0.171
IEOP0098,679.434,184.139,40.158,3.735,50.854,1.242,0.681,0.168
IEOP0099,679.434,184.124,40.158,3.735,50.859,1.242,0.681,0.168
IEOP0100,910.709,154.702,-2.57,3.939,49.504,1.617,0.524,0.17
IEOP0101,519.12,132.112,36.414,2.972,64.002,0.177,0.609,0.163
IEOP0102,679.434,183.77,40.158,3.739,50.79,1.245,0.683,0.169
IEOP0103,679.434,167.721,18.389,3.647,53.077,1.086,0.622,0.171
IEOP0104,679.434,194.679,50.605,3.904,48.8,1.497,0.786,0.172
IEOP0105,679.434,205.753,84.404,3.931,53.5,2.902,0.684,0.163
IEOP0106,679.434,167.708,18.389,3.647,53.077,1.086,0.622,0.171
IEOP0107,679.434,185.874,41.446,3.76,50.428,1.268,0.674,0.171
IEOP0108,365.858,181.507,60.146,3.433,50.489,0.08,0.678,0.119
IEOP0109,486.77,280.49,91.089,5.862,19.937,1.373,0.668,0.14
IEOP0110,679.434,206.441,84.728,3.947,53.212,2.925,0.685,0.164
IEOP0111,204.93,100.505,-0.865,3.674,49.384,0.293,0.526,0.179
IEOP0112,647.591,270.126,111.884,7.933,11.972,7.312,0.639,0.123
IEOP0113,134.639,107.977,61.313,2.461,70.589,0.0,0.703,0.0
IEOP0114,133.357,95.556,41.151,3.912,39.861,0.0,0.782,0.0
IEOP0115,194.391,97.637,15.09,3.655,45.984,0.047,0.535,0.056
IEOP0116,83.966,42.083,0.009,2.621,67.855,0.0,0.608,0.0
IEOP0117,647.591,188.718,23.022,5.564,28.997,3.049,0.632,0.182
IEOP0118,647.591,198.279,56.46,5.978,25.747,3.758,0.715,0.179
IEOP0119,647.591,226.641,64.286,6.433,20.745,3.972,0.73,0.182
IEOP0120,647.591,169.223,3.578,4.967,35.569,2.295,0.61,0.19
IEOP0121,160.274,73.464,15.273,4.914,40.785,0.776,0.616,0.0
IEOP0122,298.867,175.513,101.815,4.09,33.616,0.0,0.528,0.0
